Date,adaptive_volatility_band_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2023-09-26,-0.6046381758775687,-0.6046381758775687,0.0,2023-08-31,adaptive_volatility_band,45,1.0,176.28
2023-09-27,1.0,1.0,1.0,2023-08-31,adaptive_volatility_band,45,1.0,174.1
2023-09-28,1.0,1.0,1.0,2023-08-31,adaptive_volatility_band,45,1.0,173.23
2023-09-29,1.0,1.0,1.0,2023-08-31,adaptive_volatility_band,45,1.0,171.45
2023-10-02,-0.46547855111354414,-0.46547855111354414,0.0,2023-09-29,adaptive_volatility_band,45,1.0,169.65
2023-10-03,-0.20668572700847174,-0.20668572700847174,0.0,2023-09-29,adaptive_volatility_band,45,1.0,169.16
2023-10-04,-0.4458618200368908,-0.4458618200368908,0.0,2023-09-29,adaptive_volatility_band,45,1.0,169.14
2023-10-05,-0.3910095177075308,-0.3910095177075308,0.0,2023-09-29,adaptive_volatility_band,45,1.0,168.83
2023-10-06,1.0,1.0,1.0,2023-09-29,adaptive_volatility_band,45,1.0,169.7
2023-10-09,0.8699854977873732,0.8699854977873732,0.8699854977873732,2023-09-29,adaptive_volatility_band,45,1.0,172.82
2023-10-10,-0.2901385850373018,-0.2901385850373018,0.0,2023-09-29,adaptive_volatility_band,45,1.0,172.53
2023-10-11,-0.3118430873824717,-0.3118430873824717,0.0,2023-09-29,adaptive_volatility_band,45,1.0,173.79
2023-10-12,-0.2518187339952167,-0.2518187339952167,0.0,2023-09-29,adaptive_volatility_band,45,1.0,173.26
2023-10-13,1.0,1.0,1.0,2023-09-29,adaptive_volatility_band,45,1.0,178.83
2023-10-16,-0.2799014621295946,-0.2799014621295946,0.0,2023-09-29,adaptive_volatility_band,45,1.0,177.96
2023-10-17,0.05562186874303345,0.05562186874303345,0.05562186874303345,2023-09-29,adaptive_volatility_band,45,1.0,178.29
2023-10-18,0.8738860613626123,0.8738860613626123,0.8738860613626123,2023-09-29,adaptive_volatility_band,45,1.0,180.87
2023-10-19,0.8219377403961622,0.8219377403961622,0.8219377403961622,2023-09-29,adaptive_volatility_band,45,1.0,183.09
2023-10-20,0.4672224471643893,0.4672224471643893,0.4672224471643893,2023-09-29,adaptive_volatility_band,45,1.0,183.59
2023-10-23,-0.7541178663591606,-0.7541178663591606,0.0,2023-09-29,adaptive_volatility_band,45,1.0,182.97
2023-10-24,-0.05420059500519181,-0.05420059500519181,0.0,2023-09-29,adaptive_volatility_band,45,1.0,182.95
2023-10-25,0.5232632982641179,0.5232632982641179,0.5232632982641179,2023-09-29,adaptive_volatility_band,45,1.0,183.72
2023-10-26,0.026369847629360278,0.026369847629360278,0.026369847629360278,2023-09-29,adaptive_volatility_band,45,1.0,184.01
2023-10-27,1.0,1.0,1.0,2023-09-29,adaptive_volatility_band,45,1.0,186.15
2023-10-30,-0.7729641192199942,-0.7729641192199942,0.0,2023-09-29,adaptive_volatility_band,45,1.0,185.1
2023-10-31,0.7369335515246723,0.7369335515246723,0.7369335515246723,2023-09-29,adaptive_volatility_band,45,1.0,184.09
2023-11-01,0.5556503793550314,0.5556503793550314,0.5556503793550314,2023-10-31,adaptive_volatility_band,45,1.0,183.51
2023-11-02,1.0,1.0,1.0,2023-10-31,adaptive_volatility_band,45,1.0,184.12
2023-11-03,1.0,1.0,1.0,2023-10-31,adaptive_volatility_band,45,1.0,184.79
2023-11-06,1.0,1.0,1.0,2023-10-31,adaptive_volatility_band,45,1.0,183.35
2023-11-07,1.0,1.0,1.0,2023-10-31,adaptive_volatility_band,45,1.0,182.59
2023-11-08,1.0,1.0,1.0,2023-10-31,adaptive_volatility_band,45,1.0,180.77
2023-11-09,1.0,1.0,1.0,2023-10-31,adaptive_volatility_band,45,1.0,181.49
2023-11-10,1.0,1.0,1.0,2023-10-31,adaptive_volatility_band,45,1.0,179.51
2023-11-13,1.0,1.0,1.0,2023-10-31,adaptive_volatility_band,45,1.0,180.51
2023-11-14,1.0,1.0,1.0,2023-10-31,adaptive_volatility_band,45,1.0,182.12
2023-11-15,1.0,1.0,1.0,2023-10-31,adaptive_volatility_band,45,1.0,181.64
2023-11-16,-1.0,-1.0,0.0,2023-10-31,adaptive_volatility_band,45,1.0,183.69
2023-11-17,1.0,1.0,1.0,2023-10-31,adaptive_volatility_band,45,1.0,183.67
2023-11-20,1.0,1.0,1.0,2023-10-31,adaptive_volatility_band,45,1.0,183.37
2023-11-21,1.0,1.0,1.0,2023-10-31,adaptive_volatility_band,45,1.0,185.35
2023-11-22,-0.5336492884794327,-0.5336492884794327,0.0,2023-10-31,adaptive_volatility_band,45,1.0,184.56
2023-11-24,1.0,1.0,1.0,2023-10-31,adaptive_volatility_band,45,1.0,185.52
2023-11-27,1.0,1.0,1.0,2023-10-31,adaptive_volatility_band,45,1.0,186.77
2023-11-28,-1.0,-1.0,0.0,2023-10-31,adaptive_volatility_band,45,1.0,189.26
2023-11-29,1.0,1.0,1.0,2023-10-31,adaptive_volatility_band,45,1.0,189.54
2023-11-30,1.0,1.0,1.0,2023-10-31,adaptive_volatility_band,45,1.0,188.75
2023-12-01,-1.0,-1.0,0.0,2023-11-30,adaptive_volatility_band,45,1.0,192.01
2023-12-04,-1.0,-1.0,0.0,2023-11-30,adaptive_volatility_band,45,1.0,187.86
2023-12-05,0.3803556868083642,0.3803556868083642,0.3803556868083642,2023-11-30,adaptive_volatility_band,45,1.0,187.15
2023-12-06,1.0,1.0,1.0,2023-11-30,adaptive_volatility_band,45,1.0,187.84
2023-12-07,0.7817513712085478,0.7817513712085478,0.7817513712085478,2023-11-30,adaptive_volatility_band,45,1.0,188.15
