Date,fear_greed_candle_volume_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2021-10-20,0,0,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,166.9
2021-10-21,0,0,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,166.75
2021-10-22,-1,-1,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,167.77
2021-10-25,0,0,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,168.93
2021-10-26,0,0,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,167.68
2021-10-27,0,0,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,168.12
2021-10-28,0,0,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,168.08
2021-10-29,0,0,0.0,2021-09-30,fear_greed_candle_volume,45,1.0,166.65
2021-11-01,0,0,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,167.52
2021-11-02,0,0,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,167.16
2021-11-03,0,0,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,165.77
2021-11-04,0,0,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,167.65
2021-11-05,0,0,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,169.84
2021-11-08,0,0,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,170.45
2021-11-09,0,0,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,171.29
2021-11-10,0,0,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,173.15
2021-11-11,0,0,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,174.12
2021-11-12,0,0,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,174.45
2021-11-15,0,0,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,174.18
2021-11-16,0,0,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,172.92
2021-11-17,0,0,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,174.5
2021-11-18,0,0,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,173.94
2021-11-19,0,0,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,172.61
2021-11-22,0,0,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,168.74
2021-11-23,0,0,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,167.28
2021-11-24,0,0,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,167.12
2021-11-26,-1,-1,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,166.85
2021-11-29,0,0,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,166.62
2021-11-30,-1,-1,0.0,2021-10-29,fear_greed_candle_volume,45,1.0,165.5
2021-12-01,0,0,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,166.16
2021-12-02,0,0,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,165.24
2021-12-03,0,0,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,166.63
2021-12-06,0,0,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,166.22
2021-12-07,0,0,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,166.81
2021-12-08,0,0,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,166.9
2021-12-09,0,0,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,165.88
2021-12-10,0,0,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,166.58
2021-12-13,0,0,0.0,2021-11-30,fear_greed_candle_volume,45,1.0,167.0
