Date,ma_crossover_rank01_score,predicted_future_return,portfolio_weight,active_anchor_date,active_strategy_key,active_hold_days,prediction_scale,price
2023-07-07,0.07204404510940257,0.07204404510940257,0.1026239067055479,2023-06-30,ma_crossover,45,0.7020200986512223,178.64
2023-07-10,0.09005505638674449,0.09005505638674449,0.12827988338192245,2023-06-30,ma_crossover,45,0.7020200986512223,178.78
2023-07-11,0.13180785525695254,0.13180785525695254,0.18775510204079976,2023-06-30,ma_crossover,45,0.7020200986512223,179.45
2023-07-12,0.2910415685953375,0.2910415685953375,0.41457725947520596,2023-06-30,ma_crossover,45,0.7020200986512223,181.88
2023-07-13,0.4822038928344787,0.4822038928344787,0.6868804664722958,2023-06-30,ma_crossover,45,0.7020200986512223,182.01
2023-07-14,0.5329621973433577,0.5329621973433577,0.7591836734693604,2023-06-30,ma_crossover,45,0.7020200986512223,181.43
2023-07-17,0.6258826418878759,0.6258826418878759,0.8915451895043635,2023-06-30,ma_crossover,45,0.7020200986512223,181.56
2023-07-18,0.7572811559794439,0.7572811559794439,1.0,2023-06-30,ma_crossover,45,0.7020200986512223,183.64
2023-07-19,0.6651793937657414,0.6651793937657414,0.9475218658892214,2023-06-30,ma_crossover,45,0.7020200986512223,183.67
2023-07-20,0.5026709511041981,0.5026709511041981,0.7160349854227396,2023-06-30,ma_crossover,45,0.7020200986512223,182.74
2023-07-21,0.4191653533637587,0.4191653533637587,0.5970845481049517,2023-06-30,ma_crossover,45,0.7020200986512223,182.18
2023-07-24,0.298819050737843,0.298819050737843,0.4256559766763919,2023-06-30,ma_crossover,45,0.7020200986512223,181.4
2023-07-25,0.07695613909412266,0.07695613909412266,0.10962099125363649,2023-06-30,ma_crossover,45,0.7020200986512223,182.41
2023-07-26,-0.011461552631036823,-0.011461552631036823,0.0,2023-06-30,ma_crossover,45,0.7020200986512223,183.3
2023-07-27,-0.13631060807629966,-0.13631060807629966,0.0,2023-06-30,ma_crossover,45,0.7020200986512223,180.42
2023-07-28,-0.18011011277347735,-0.18011011277347735,0.0,2023-06-30,ma_crossover,45,0.7020200986512223,181.86
2023-07-31,-0.1346732434147263,-0.1346732434147263,0.0,2023-06-30,ma_crossover,45,0.7020200986512223,182.35
2023-08-01,-0.16434426229508592,-0.16434426229508592,0.0,2023-07-31,ma_crossover,45,0.5464139344262224,180.46
2023-08-02,-0.3008196721311389,-0.3008196721311389,0.0,2023-07-31,ma_crossover,45,0.5464139344262224,179.6
2023-08-03,-0.2418032786885255,-0.2418032786885255,0.0,2023-07-31,ma_crossover,45,0.5464139344262224,179.54
2023-08-04,-0.29713114754096903,-0.29713114754096903,0.0,2023-07-31,ma_crossover,45,0.5464139344262224,180.19
2023-08-07,-0.4413934426229492,-0.4413934426229492,0.0,2023-07-31,ma_crossover,45,0.5464139344262224,179.78
2023-08-08,-0.43606557377048805,-0.43606557377048805,0.0,2023-07-31,ma_crossover,45,0.5464139344262224,178.64
2023-08-09,-0.3586065573770601,-0.3586065573770601,0.0,2023-07-31,ma_crossover,45,0.5464139344262224,177.79
2023-08-10,-0.4020491803278658,-0.4020491803278658,0.0,2023-07-31,ma_crossover,45,0.5464139344262224,177.6
2023-08-11,-0.4397540983606463,-0.4397540983606463,0.0,2023-07-31,ma_crossover,45,0.5464139344262224,177.6
2023-08-14,-0.4459016393442589,-0.4459016393442589,0.0,2023-07-31,ma_crossover,45,0.5464139344262224,177.06
2023-08-15,-0.455327868852454,-0.455327868852454,0.0,2023-07-31,ma_crossover,45,0.5464139344262224,176.59
2023-08-16,-0.4721311475409889,-0.4721311475409889,0.0,2023-07-31,ma_crossover,45,0.5464139344262224,175.57
2023-08-17,-0.48688524590164517,-0.48688524590164517,0.0,2023-07-31,ma_crossover,45,0.5464139344262224,175.3
2023-08-18,-0.47377049180329184,-0.47377049180329184,0.0,2023-07-31,ma_crossover,45,0.5464139344262224,175.33
2023-08-21,-0.4135245901639279,-0.4135245901639279,0.0,2023-07-31,ma_crossover,45,0.5464139344262224,175.81
2023-08-22,-0.34959016393441744,-0.34959016393441744,0.0,2023-07-31,ma_crossover,45,0.5464139344262224,176.1
2023-08-23,-0.16352459016392282,-0.16352459016392282,0.0,2023-07-31,ma_crossover,45,0.5464139344262224,177.89
2023-08-24,0.03524590163934941,0.03524590163934941,0.06450403150197913,2023-07-31,ma_crossover,45,0.5464139344262224,177.85
2023-08-25,0.22213114754098381,0.22213114754098381,0.4065254078379955,2023-07-31,ma_crossover,45,0.5464139344262224,177.62
2023-08-28,0.36844262295080765,0.36844262295080765,0.6742921432589404,2023-07-31,ma_crossover,45,0.5464139344262224,178.13
2023-08-29,0.5430327868852401,0.5430327868852401,0.9938121132570809,2023-07-31,ma_crossover,45,0.5464139344262224,179.87
2023-08-30,0.5475409836065499,0.5475409836065499,1.0,2023-07-31,ma_crossover,45,0.5464139344262224,180.32
2023-08-31,0.5319672131147655,0.5319672131147655,0.9735608475530054,2023-07-31,ma_crossover,45,0.5464139344262224,180.02
2023-09-01,0.5408288879770116,0.5408288879770116,1.0,2023-08-31,ma_crossover,45,0.5111202297907151,180.11
2023-09-05,0.4665572425112706,0.4665572425112706,0.9128131021194535,2023-08-31,ma_crossover,45,0.5111202297907151,178.64
2023-09-06,0.22814936397208882,0.22814936397208882,0.4463712267180416,2023-08-31,ma_crossover,45,0.5111202297907151,177.83
2023-09-07,0.03405826836274026,0.03405826836274026,0.06663455362877313,2023-08-31,ma_crossover,45,0.5111202297907151,178.02
2023-09-08,-0.1345917111202187,-0.1345917111202187,0.0,2023-08-31,ma_crossover,45,0.5111202297907151,178.08
2023-09-11,-0.306524415264674,-0.306524415264674,0.0,2023-08-31,ma_crossover,45,0.5111202297907151,178.41
2023-09-12,-0.3746409519901545,-0.3746409519901545,0.0,2023-08-31,ma_crossover,45,0.5111202297907151,177.49
2023-09-13,-0.32170701682395897,-0.32170701682395897,0.0,2023-08-31,ma_crossover,45,0.5111202297907151,177.08
2023-09-14,-0.26220763233484073,-0.26220763233484073,0.0,2023-08-31,ma_crossover,45,0.5111202297907151,177.17
2023-09-15,-0.17193270414444362,-0.17193270414444362,0.0,2023-08-31,ma_crossover,45,0.5111202297907151,178.34
2023-09-18,-0.06196142798523173,-0.06196142798523173,0.0,2023-08-31,ma_crossover,45,0.5111202297907151,179.39
2023-09-19,0.05621665982765687,0.05621665982765687,0.10998715478484487,2023-08-31,ma_crossover,45,0.5111202297907151,179.22
2023-09-20,0.18013951579812032,0.18013951579812032,0.35244059087992036,2023-08-31,ma_crossover,45,0.5111202297907151,179.35
2023-09-21,0.25112843660238826,0.25112843660238826,0.4913294797688131,2023-08-31,ma_crossover,45,0.5111202297907151,178.05
2023-09-22,0.2519491177677361,0.2519491177677361,0.4929351316634443,2023-08-31,ma_crossover,45,0.5111202297907151,178.62
2023-09-25,0.14238818219123314,0.14238818219123314,0.2785806037251467,2023-08-31,ma_crossover,45,0.5111202297907151,177.7
2023-09-26,-0.04924086992203692,-0.04924086992203692,0.0,2023-08-31,ma_crossover,45,0.5111202297907151,176.28
2023-09-27,-0.35781698810012713,-0.35781698810012713,0.0,2023-08-31,ma_crossover,45,0.5111202297907151,174.1
2023-09-28,-0.5917111202297909,-0.5917111202297909,0.0,2023-08-31,ma_crossover,45,0.5111202297907151,173.23
